request_id,request_type,application_id,arrival_timestamp,batch_size,prompt_size,token_size
0,2,0,0.0175732300617033,1,1817,36
1,2,0,0.020020664720448476,1,45,9
2,2,0,0.06006357666712871,1,4679,27
3,2,0,0.09331762312144308,1,155,17
4,2,0,0.09531694770135861,1,4804,10
5,2,0,0.12436582915376941,1,1653,79
6,2,0,0.1957470804336091,1,1025,59
7,2,0,0.21351370276768433,1,5538,19
8,2,0,0.23080968731918994,1,145,16
9,2,0,0.2945478647623843,1,2505,28
10,2,0,0.39873996959547375,1,3087,14
11,2,0,0.45114092997900407,1,203,20
12,2,0,0.45318466382659905,1,2590,25
13,2,0,0.4928271322011514,1,2498,28
14,2,0,0.5282916173231086,1,808,391
15,2,0,0.6159403327604926,1,6559,24
16,2,0,0.6267012559984177,1,172,6
17,2,0,0.7558623652048826,1,821,12
18,2,0,0.7794554942123227,1,2027,13
19,2,0,0.7817535935881867,1,5763,15
20,2,0,0.7869676934609455,1,96,10
21,2,0,0.9615220882065482,1,328,10
22,2,0,0.9844079409669105,1,1813,9
23,2,0,1.0424205714143209,1,1194,17
24,2,0,1.1625024827132424,1,413,9
25,2,0,1.187386099713874,1,2593,6
26,2,0,1.2209715915528592,1,3098,10
27,2,0,1.25689925937415,1,336,9
28,2,0,1.2920365212224825,1,247,31
29,2,0,1.2940291428353605,1,105,16
30,2,0,1.33472973377676,1,6293,52
31,2,0,1.371816539885603,1,1958,27
32,2,0,1.4746079136910046,1,1914,6
33,2,0,1.5402420215314485,1,4078,14
34,2,0,1.643161856011386,1,566,20
35,2,0,1.6492303124105228,1,30,12
36,2,0,1.6565216055102698,1,1772,11
37,2,0,1.6939859785992724,1,3502,50
38,2,0,1.729599696149355,1,6695,23
39,2,0,1.7437885999956706,1,26,42
40,2,0,1.7586515710176605,1,123,61
41,2,0,1.8066715534470774,1,7416,10
42,2,0,1.8450161374065028,1,3601,10
43,2,0,1.885628585616283,1,1313,7
44,2,0,1.893053291285603,1,1209,341
45,2,0,1.8936262193561164,1,1943,37
46,2,0,2.1881919153838525,1,1885,9
47,2,0,2.2058676939768787,1,730,6
48,2,0,2.286928701365185,1,2692,17
49,2,0,2.3117715739976514,1,6692,6
50,2,0,2.3513178170152442,1,1586,16
51,2,0,2.357415040264159,1,1823,31
52,2,0,2.3842783288015297,1,266,70
53,2,0,2.38792454367141,1,325,13
54,2,0,2.550993341389311,1,46,8
55,2,0,2.57980889941722,1,5522,15
56,2,0,2.6315224110140236,1,2022,16
57,2,0,2.6469194589424054,1,2412,17
58,2,0,2.661493358747521,1,2733,17
59,2,0,2.718836521887339,1,7435,18
60,2,0,2.7531604806293273,1,2794,84
61,2,0,2.801160515959905,1,963,37
62,2,0,2.87131535074106,1,5957,11
63,2,0,2.880005616868785,1,1992,22
64,2,0,2.9820835675419732,1,1707,153
65,2,0,2.992438966165814,1,1276,8
66,2,0,2.993454779750326,1,94,21
67,2,0,3.139102418082659,1,2432,74
68,2,0,3.1443567617068764,1,3126,11
69,2,0,3.170943455742917,1,3338,13
70,2,0,3.2164501006158104,1,913,11
71,2,0,3.3915412201688326,1,1379,16
72,2,0,3.4122610307883243,1,471,9
73,2,0,3.421705512566721,1,1897,13
74,2,0,3.431311884476026,1,276,12
75,2,0,3.4319132726071326,1,372,6
76,2,0,3.4537690931182143,1,191,18
77,2,0,3.5131385841525935,1,520,20
78,2,0,3.5428753376379487,1,46,7
79,2,0,3.635961862928984,1,1279,10
80,2,0,3.7755561456726214,1,2936,9
81,2,0,3.861165583474312,1,1476,223
82,2,0,3.8639840352461774,1,2559,56
83,2,0,3.941216067741277,1,699,19
84,2,0,3.995593677842628,1,2889,121
85,2,0,3.9989511071751376,1,757,10
